merged,name,lat,lon,Address,Municipality,Sale price
" Cook Farm Rd, LaFayette, New York","Cook Farm Road, Town of LaFayette, Onondaga County, New York, 13078, United States",42.964589,-76.072914, Cook Farm Rd,LaFayette,10000
"5867 Howell Rd, Summerhill, New York","5867, Howell Road, Chipman Corners, Town of Locke, Cayuga County, New York, 13092, United States",42.6310695,-76.35491388074736,5867 Howell Rd,Summerhill,16140
"2859 Cold Springs Rd, Baldwinsville, New York","2859, Cold Springs Road, Town of Lysander, Onondaga County, New York, 13027, United States",43.1607553,-76.3087776,2859 Cold Springs Rd,Baldwinsville,228300
"303 Smith Ave, Onondaga, New York","303, Smith Avenue, Nedrow, Town of Onondaga, Onondaga County, New York, 13120, United States",42.9742587,-76.1382676,303 Smith Ave,Onondaga,15000
"843 O'Connor Rd, Scriba, New York","843, O Connor Road, South Scriba, Town of Scriba, Oswego County, New York, 13126, United States",43.4493045,-76.42857262135337,843 O'Connor Rd,Scriba,26000
"3700 Chapman Rd, Georgetown, New York","3700, Chapman Road, Town of Georgetown, Madison County, New York, 13072, United States",42.7750743,-75.7561782,3700 Chapman Rd,Georgetown,60000
" Wright Rd, Onondaga, New York","Wright Road, Kellys Corners, Town of Onondaga, Marcellus, Onondaga County, New York, 13031, United States",43.022036,-76.247938, Wright Rd,Onondaga,24000
"7 Tallcot Ln, Skaneateles (village), New York","7, Tallcot Lane, Village of Skaneateles, Town of Skaneateles, Onondaga County, New York, 13152, United States",42.9381462,-76.4299854,7 Tallcot Ln,Skaneateles (village),2967043
"1700 Chapin Road, Georgetown, New York","1700, Chapin Road, Town of Georgetown, Madison County, New York, 13072, United States",42.7948225,-75.7723857,1700 Chapin Road,Georgetown,34000
"79 Castor Rd, Albion, New York","79, Castor Road, Town of Albion, Oswego County, New York, 13142, United States",43.507192629953465,-76.08559905032038,79 Castor Rd,Albion,56900
" State Route 90, Ledyard, New York","State Route 90, Town of Genoa, Cayuga County, New York, 13081, United States",42.678297,-76.653167, State Route 90,Ledyard,50000
" State Route 90, Ledyard, New York","State Route 90, Town of Genoa, Cayuga County, New York, 13081, United States",42.678297,-76.653167, State Route 90,Ledyard,710000
" Steinway Dr, DeWitt, New York","Steinway Drive, Dewitt, Onondaga County, New York, 13078, United States",43.018565,-76.0840384, Steinway Dr,DeWitt,265000
