query,name,lat,lon
"168 Hood Ave, Syracuse, New York","168, Hood Avenue, Northside, City of Syracuse, Onondaga County, New York, 13208, United States",43.07458135,-76.14463437679908
"168 Hood Ave, Syracuse, New York","168, Hood Avenue, Northside, City of Syracuse, Onondaga County, New York, 13208, United States",43.07449628978835,-76.1447120018611
"422 Ostrander Ave, Syracuse, New York","422, West Ostrander Avenue, North Valley, City of Syracuse, Onondaga County, New York, 13205, United States",43.013987,-76.1510917
"422 Ostrander Ave, Syracuse, New York","422, West Ostrander Avenue, North Valley, City of Syracuse, Onondaga County, New York, 13205, United States",43.01394791648659,-76.15042290316724
"221-23 Mclennan Ave, Syracuse, New York","McLennan Avenue, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.028211,-76.148857
"127 Josephine St, Syracuse, New York","127, Josephine Street, Near Northeast, City of Syracuse, Onondaga County, New York, 13208, United States",43.0610695,-76.1477517
"127 Josephine St, Syracuse, New York","127, Josephine Street, Village of North Syracuse, Town of Clay, Onondaga County, New York, 13212, United States",43.133985,-76.1479499
"127 Josephine St, Syracuse, New York","127, Josephine Street, Near Northeast, City of Syracuse, Onondaga County, New York, 13208, United States",43.060632161263094,-76.14656152807909
"127 Josephine St, Syracuse, New York","127, Josephine Street, Village of North Syracuse, Town of Clay, Onondaga County, New York, 13212, United States",43.132376852615934,-76.14736112748895
"206 Elk St, Syracuse, New York","206, Elk Street, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.0249178,-76.1420453
"206 Elk St, Syracuse, New York","206, Elk Street, Brighton, City of Syracuse, Onondaga County, New York, 13205, United States",43.024968437622505,-76.14237058948278
"429 Buckingham Ave, Syracuse, New York","429, Buckingham Avenue, University Neighborhood, City of Syracuse, Onondaga County, New York, 13210, United States",43.0267454,-76.1205459
"429 Buckingham Ave, Syracuse, New York","429, Buckingham Avenue, University Neighborhood, City of Syracuse, Onondaga County, New York, 13210, United States",43.026877513261475,-76.12062497037336
"208-10 Markland Ave, Syracuse, New York","Markland Avenue, Skunk City, City of Syracuse, Onondaga County, New York, 13207, United States",43.031711,-76.179598
"504 Arthur St, Syracuse, New York","504, Arthur Street, Strathmore, City of Syracuse, Onondaga County, New York, 13207, United States",43.0322026,-76.1772145
"504 Arthur St, Syracuse, New York","504, Arthur Street, Strathmore, City of Syracuse, Onondaga County, New York, 13207, United States",43.0321827755102,-76.17710218367347
"152 Lakeview Ave, Syracuse, New York","152, Lakeview Avenue, Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.0497838,-76.1763772
"152 Lakeview Ave, Syracuse, New York","152, Lakeview Avenue, Westside, City of Syracuse, Onondaga County, New York, 13204, United States",43.04957161674871,-76.17610373809744
"2412 Fayette St, Syracuse, New York","2412, East Fayette Street, Salt Springs, City of Syracuse, Onondaga County, New York, 13224, United States",43.0481293,-76.1100208
"2412 Fayette St, Syracuse, New York","2412, East Fayette Street, Salt Springs, City of Syracuse, Onondaga County, New York, 13224, United States",43.04822526530612,-76.11028465306123
